capital = 202 #Kiev

set_research_slots = 3

# Starting tech
set_technology = {
	infantry_weapons = 1
	infantry_weapons1 = 1
	tech_recon = 1
	tech_support = 1		
	tech_engineers = 1
	tech_military_police = 1
	tech_mountaineers = 1
	tech_trucks = 1
	motorised_infantry = 1
	paratroopers = 1
	gw_artillery = 1
	mass_assault = 1
	fleet_in_being = 1
}

recruit_character = UKR_oleksii_ivanovych_tykhy

set_politics = {
	ruling_party = neutrality
	last_election = "1956.11.8"
	election_frequency = 48
	elections_allowed = no
}

set_popularities = {
	democratic = 4
	fascism = 10
	communism = 23
	neutrality = 46
	despotism = 17
}




